                   #Radius (m)               Density (kg/m^3)              Bulk modulus (Pa)             Shear modulus (Pa)               Viscosity (Pa.s)
                2393793.204249                    1100.000000                   1.000000e+30                   0.000000e+00                       2.000000
                2393660.256410                    1100.000000                   1.000000e+30                   0.000000e+00                       2.000000
                2393530.961165                    1100.000000                   1.000000e+30                   0.000000e+00                       2.000000
                2393405.395195                    1100.000000                   1.000000e+30                   0.000000e+00                       2.000000
                2393283.632968                    1100.000000                   1.000000e+30                   0.000000e+00                       2.000000
                2393165.746695                    1100.000000                   1.000000e+30                   0.000000e+00                       2.000000
                2393051.806292                    1100.000000                   1.000000e+30                   0.000000e+00                       2.000000
                2392941.879331                    1100.000000                   1.000000e+30                   0.000000e+00                       2.000000
                2392836.031006                    1100.000000                   1.000000e+30                   0.000000e+00                       2.000000
                2392734.324090                    1100.000000                   1.000000e+30                   0.000000e+00                       2.000000
                2392636.818903                    1100.000000                   1.000000e+30                   0.000000e+00                       2.000000
                2392543.573271                    1100.000000                   1.000000e+30                   0.000000e+00                       2.000000
                2392454.642494                    1100.000000                   1.000000e+30                   0.000000e+00                       2.000000
                2392370.079314                    1100.000000                   1.000000e+30                   0.000000e+00                       2.000000
                2392289.933881                    1100.000000                   1.000000e+30                   0.000000e+00                       2.000000
                2392214.253727                    1100.000000                   1.000000e+30                   0.000000e+00                       2.000000
                2392143.083734                    1100.000000                   1.000000e+30                   0.000000e+00                       2.000000
                2392076.466111                    1100.000000                   1.000000e+30                   0.000000e+00                       2.000000
                2392014.440366                    1100.000000                   1.000000e+30                   0.000000e+00                       2.000000
                2391957.043283                    1100.000000                   1.000000e+30                   0.000000e+00                       2.000000
                2391904.308904                    1100.000000                   1.000000e+30                   0.000000e+00                       2.000000
                2391856.268502                    1100.000000                   1.000000e+30                   0.000000e+00                       2.000000
                2391812.950568                    1100.000000                   1.000000e+30                   0.000000e+00                       2.000000
                2391774.380793                    1100.000000                   1.000000e+30                   0.000000e+00                       2.000000
                2391740.582050                    1100.000000                   1.000000e+30                   0.000000e+00                       2.000000
                2391711.574385                    1100.000000                   1.000000e+30                   0.000000e+00                       2.000000
                2391687.375000                    1100.000000                   1.000000e+30                   0.000000e+00                       2.000000
                2391667.998248                    1100.000000                   1.000000e+30                   0.000000e+00                       2.000000
                2391653.455620                    1100.000000                   1.000000e+30                   0.000000e+00                       2.000000
                2391643.755740                    1100.000000                   1.000000e+30                   0.000000e+00                       2.000000
                2391638.904362                    1100.000000                   1.000000e+30                   0.000000e+00                       2.000000
                2391638.297872                    1100.000000                   1.000000e+30                   0.000000e+00                       2.000000
                2391638.297872                    1250.000000                   1.000000e+30                   6.000000e+09                      15.000000
                2388602.342075                    1250.000000                   1.000000e+30                   6.000000e+09                      15.000000
                2385566.386277                    1250.000000                   1.000000e+30                   6.000000e+09                      15.000000
                2382530.430480                    1250.000000                   1.000000e+30                   6.000000e+09                      15.000000
                2379494.474683                    1250.000000                   1.000000e+30                   6.000000e+09                      15.000000
                2376458.518885                    1250.000000                   1.000000e+30                   6.000000e+09                      15.000000
                2373422.563088                    1250.000000                   1.000000e+30                   6.000000e+09                      15.000000
                2370386.607290                    1250.000000                   1.000000e+30                   6.000000e+09                      15.000000
                2367350.651493                    1250.000000                   1.000000e+30                   6.000000e+09                      15.000000
                2364314.695695                    1250.000000                   1.000000e+30                   6.000000e+09                      15.000000
                2361278.739898                    1250.000000                   1.000000e+30                   6.000000e+09                      15.000000
                2358242.784100                    1250.000000                   1.000000e+30                   6.000000e+09                      15.000000
                2355206.828303                    1250.000000                   1.000000e+30                   6.000000e+09                      15.000000
                2352170.872505                    1250.000000                   1.000000e+30                   6.000000e+09                      15.000000
                2349134.916708                    1250.000000                   1.000000e+30                   6.000000e+09                      15.000000
                2346098.960910                    1250.000000                   1.000000e+30                   6.000000e+09                      15.000000
                2343063.005113                    1250.000000                   1.000000e+30                   6.000000e+09                      15.000000
                2340027.049316                    1250.000000                   1.000000e+30                   6.000000e+09                      15.000000
                2336991.093518                    1250.000000                   1.000000e+30                   6.000000e+09                      15.000000
                2333955.137721                    1250.000000                   1.000000e+30                   6.000000e+09                      15.000000
                2330919.181923                    1250.000000                   1.000000e+30                   6.000000e+09                      15.000000
                2327883.226126                    1250.000000                   1.000000e+30                   6.000000e+09                      15.000000
                2324847.270328                    1250.000000                   1.000000e+30                   6.000000e+09                      15.000000
                2321811.314531                    1250.000000                   1.000000e+30                   6.000000e+09                      15.000000
                2318775.358733                    1250.000000                   1.000000e+30                   6.000000e+09                      15.000000
